     UGC  3169    04 47 45.0 09 35 43.0  8800  8  3.0   1 378  0 382  0  3.0 1.0 400  1 370  1  2.9 0.4 399  4 374  4
     UGC  3247    05 06 38.0 08 40 27.0  3365  7  5.2   0 220  0 208  0  5.1 0.6 239  1 177  1  5.2 0.2 223  4 209  4
     UGC  3296    05 21 21.8 04 53 16.0  4267  3  8.6   1 342  0 332  0  8.8 0.9 361  1 335  1  8.6 0.4 346  4 333  4
     UGC  3330    05 36 46.9 14 25 21.0  5238  3  4.6   0 211 11 189 18  4.5 0.5 216  7 185 11  4.6 0.2 212  7 188  4
     UGC  3476  d 06 30 29.2 33 18 07.0   472  5  7.4   0 128 13 104  8  7.3 0.3 150  3 106  5  7.4 0.1 130  4 119  4
     UGC  3564    06 50 36.2 16 21 20.0  2546  0  5.6   0  97  0  86  1  5.6 0.2 103  1  90  1  5.6 0.1 100  4  91  4
     UGC  3582    06 53  0.3 12 11 17.0  8392 10  2.8   0 177 28 165 23  2.8 0.3 189 18 164  2  2.8 0.1 183 11 166  4
     UGC  3621    06 59  4.4 14 17 42.0  2335  2  9.6   0 176  1 165  2  9.6 0.3 177  3 164  1  9.6 0.1 177  4 166  4
     UGC  3755    07 13 51.5 10 31 19.0   318  4  8.2   0  67  7  77  6  8.1 0.2 111  3  79  5  8.2 0.1  71  4  80  4
     UGC  3767    07 14 47.7 06 46 50.0  5807  4  4.0   0 261  4 254  3  4.0 0.5 264 10 254  6  4.0 0.2 266  4 257  4
   CAP 0718+06    07 21  0.2 06 18 19.0 11140  6  1.4   0 207 10 207 11  1.4 0.4 209 11 192 11  1.4 0.2 211 16 195  8
     UGC  3946    07 37 59.7 03 18 58.0  1198  6 12.0   0 123 13 112  4 12.1 0.3 143  9 114  1 12.0 0.1 127  4 113  4
     UGC  4117    07 57 26.0 35 56 21.0   773  1  4.1   0  80  5  73  2  4.1 0.2  88  1  76  1  4.1 0.1  85  4  76  4
     UGC  4131    07 59 11.6 31 48 28.0 17728 24  3.4   0 464 14 448 19  3.4 0.6 467 32 451 25  3.4 0.3 466 16 448 25
     UGC  4180    08 02 36.5 27 26 15.0  5229  2  5.3   0 354  2 347  9  5.2 0.5 356  4 348  5  5.3 0.2 359  4 350  4
     UGC  4385    08 23 52.0 14 45 07.0  1967  5  6.6   0 185  7 168  2  6.6 0.3 190  9 169  5  6.6 0.1 188  4 170  4
 LSBC F704-V01    08 24 51.7 09 13 29.0  6018  5  2.0   0 135 10 130 13  2.0 0.2 141  5 131  5  2.0 0.1 139  4 132  4
     UGC  4660  d 08 54 24.2 34 33 20.0  2202  2  6.0   0  77  4  69  2  6.0 0.1  80  2  69  1  6.0 0.1  80  4  73  4
     UGC  4780    09 06 39.4 19 20 10.0  3287  6  8.1   0 164 15 139  5  8.2 0.2 169  2 140  1  8.1 0.1 165  4 142  4
     UGC  4955    09 20 19.3 25 16 25.0  6463  4  2.1   0 209  0 202  0  2.1 0.5 214  1 206  1  2.1 0.2 217  4 207  4
     UGC  5030    09 26 36.2 07 57 15.0  2153  2  3.4   0 300  3 295  7  3.3 0.5 305 12 295 11  3.4 0.2 306  8 297  4
     UGC  5160    09 40 41.7 11 53 18.0  6660 13  2.9   0 399 21 398 25  2.8 0.4 402 25 390 24  2.9 0.2 405 19 397  8
     UGC  5215    09 45 14.3 09 06 35.0  5485  1  6.8   1 420  0 418  0  6.8 1.0 425  1 416  1  6.8 0.5 424  4 417  4
     UGC  5218    09 45 30.2 06 22 37.0  3088  1  6.7   0 195  4 185  2  6.7 0.3 200  1 186  1  6.7 0.1 199  4 188  4
     UGC  5326    09 55 24.6 33 15 45.0  1412  8  4.3   0 131  6 112  6  4.3 0.2 128  8 111  4  4.3 0.1 132 11 115  4
     UGC  5358    09 58 47.2 11 23 19.0  2914  1  4.4   0 216  0 203  0  4.5 0.5 222  1 204  1  4.4 0.3 218  4 207  4
